date,name,now,status,time
2018/03/23,tsutsumi,19:18:04,start,0
2018/03/23,tsutsumi,19:18:09,end,0:00:05
2018/03/23,tsutsumi,19:18:16,start,0
2018/03/23,tsutsumi,19:18:19,end,0:00:03
2018/03/23,tsutsumi,19:18:22,start,0
2018/03/23,tsutsumi,19:18:25,end,0:00:03
2018/03/23,tsutsumi,19:18:28,start,0
2018/03/26,tsutsumi,09:42:23,start,0
